"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"185.162.228.167","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.265","726.000","0.289","99.991"
"185.162.228.168","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.012","6562.000","0.033","99.988"
"185.162.228.169","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.105","1741.000","0.120","99.990"
"185.162.228.17","80","http","anonymous","2024-11-25 11:50:07","true","true","true","true","true","","DK","0.213","670.000","0.311","99.991"
"185.162.228.170","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.026","3870.000","0.055","99.992"
"185.162.228.171","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.206","878.000","0.238","99.993"
"185.162.228.172","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.199","897.000","0.234","99.987"
"185.162.228.173","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.215","889.000","0.235","99.988"
"185.162.228.174","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.019","6333.000","0.034","99.993"
"185.162.228.175","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.242","807.000","0.261","99.993"
"185.162.228.176","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.435","460.000","0.455","99.991"
"185.162.228.177","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.026","4750.000","0.044","99.992"
"185.162.228.178","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.330","587.000","0.355","99.985"
"185.162.228.179","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.050","2121.000","0.099","99.990"
"185.162.228.18","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.174","569.000","0.368","99.990"
"185.162.228.180","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.027","4883.000","0.043","99.992"
"185.162.228.181","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.103","1750.000","0.120","99.990"
"185.162.228.182","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.214","890.000","0.238","99.991"
"185.162.228.183","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.173","1111.000","0.190","99.990"
"185.162.228.184","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.064","2322.000","0.090","99.991"
"185.162.228.185","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.064","2177.000","0.097","99.990"
"185.162.228.186","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.118","954.000","0.220","99.991"
"185.162.228.187","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.027","3666.000","0.057","99.995"
"185.162.228.188","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.259","754.000","0.277","99.991"
"185.162.228.189","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.132","1280.000","0.164","99.991"
"185.162.228.19","80","http","anonymous","2024-11-25 11:50:21","true","true","true","true","true","","DK","0.170","995.000","0.209","99.987"
"185.162.228.190","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.349","560.000","0.375","99.991"
"185.162.228.191","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.471","418.000","0.500","99.991"
"185.162.228.192","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.247","785.000","0.266","99.986"
